mirna_id,DO27767,DO27777,DO27779,DO27783,DO27789,DO27807,DO27809,DO27811,DO27813,DO27815,DO27827,DO27833,DO27851,DO27853,DO27855,DO27857
hsa-mir-4439mature,0.0,0.0,4.349567048445561e-08,0.0,1.08919007172752e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.2409076424463603e-07,0.0,0.0,0.0,0.0
hsa-mir-4440_gene,0.0311596433,0.0685018445,0.0,0.0,0.0278460702,0.0169475092,0.0788737737,0.1424562917,0.0424909034,0.030260665,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4440_mature3p,0.1129280258,0.30219246,0.0,0.0,0.1150831323,0.0782813518,0.3192509886,0.5432904332,0.196267506,0.1397754528,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4440_mature5p,0.012681756899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4440mature,2.90456991960586e-08,3.22572081392807e-08,0.0,0.0,0.0,0.0,3.37505098858281e-08,2.3632243161413706e-08,3.47520220811568e-08,0.0,0.0,0.0,1.87233029104625e-07,3.77479939394841e-08,0.0,0.0
hsa-mir-4441_gene,0.0,0.0102562289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4442_gene,0.0239544297,0.1538434342,0.0,0.0,0.8055819261,0.0,0.40631944,0.4432439432,0.749385023,1.2452722157,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4442_mature3p,0.0,0.0,0.0,0.0,0.6041864446,0.0,0.0,0.3656762531,0.0,1.1007316907,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4442_moR3p,0.0012288311,0.011060836499999999,0.0280563104,0.0,0.0016644255,0.0543448312,0.0023218254,0.037992338,0.008921250300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4442mature,5.80913983921172e-08,9.677162441784212e-08,0.0,3.7564716963944397e-07,3.99369692966758e-07,0.0,2.3625356920079688e-07,1.1816121580706901e-07,5.21280331217352e-07,5.86631768222124e-07,4.6770273562448103e-07,4.2409076424463603e-07,0.0,7.549598787896821e-07,8.04319841002054e-07,0.0
hsa-mir-4443_gene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0126419317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4443mature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1269018845272397e-07,0.0,0.0,5.19669706249423e-08,0.0,0.0,0.0,4.02159920501027e-07,0.0
hsa-mir-4444-1_gene,0.5486548834,0.42886491590000003,0.3728899864,0.0,0.6400513934000001,0.6695736447999999,1.6653531021,3.2326448677,2.7402170156,3.0559126389999998,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4444-1_mature3p,0.1239994009,0.0,0.038429603300000004,0.0,0.0947743443,0.0,0.1051650315,0.0,0.0808160319,0.2302183928,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4444-1_moR3p,0.0,0.0,0.0296956026,0.0,0.1098520808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4444-2_gene,0.5486548834,0.42886491590000003,0.3728899864,0.0,0.6400513934000001,0.6695736447999999,1.6653531021,3.2326448677,2.7402170156,3.0559126389999998,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4444-2_mature3p,0.1239994009,0.0,0.038429603300000004,0.0,0.0947743443,0.0,0.1051650315,0.0,0.0808160319,0.2302183928,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4444-2_moR3p,0.0,0.0,0.0296956026,0.0,0.1098520808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4444mature,6.970967807054072e-07,1.61286040696403e-07,3.47965363875645e-07,9.391179240986107e-08,3.63063357242508e-07,6.39614272389423e-07,7.42511217488218e-07,9.216574832951349e-07,1.66809705989553e-06,1.5084816897140301e-06,5.19669706249423e-08,8.48181528489273e-08,1.87233029104625e-07,1.8873996969742e-07,0.0,6.13335257843076e-07
hsa-mir-4446-3pmature,6.3900538231329e-07,3.38700685462447e-06,0.0,3.09908914952542e-06,1.15454147603117e-05,1.918842817168271e-06,2.160032632693e-06,1.48883131916906e-06,3.75321838476494e-06,1.04755672896808e-06,1.09130638312379e-06,7.803270062101311e-06,9.36165145523127e-07,1.24568380000297e-06,2.41295952300616e-06,4.08890171895384e-06
hsa-mir-4446-5pmature,5.80913983921172e-08,6.45144162785614e-08,0.0,0.0,1.08919007172752e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.69636305697855e-07,0.0,0.0,2.01079960250513e-07,0.0
